date,vendor,amount,description
2026-01-14,Panera,28.45,Food & Dining expense
2026-02-24,Internet Provider,386.4,Operations expense
2026-01-30,Google Ads,1217.99,Marketing expense
2026-01-22,Azure,2580.33,Cloud services - spike period
2026-03-16,Adobe Creative Cloud,99.0,Software subscription
2026-03-05,Facebook Ads,888.43,Marketing expense
2026-01-14,Uber,446.68,Travel expense
2026-01-15,Starbucks,39.16,Food & Dining expense
2026-02-25,AWS,1709.27,Cloud Services expense
2026-01-02,Office Depot,307.46,Office Expenses expense
2026-02-11,Panera,67.79,Food & Dining expense
2026-03-26,Insurance Co,674.78,Operations expense
2026-03-27,Google Ads,1161.45,Marketing expense
2026-02-03,Azure,1441.88,Cloud Services expense
2026-03-26,Uber,149.67,Travel expense
2026-03-26,Google Ads,633.24,Marketing expense
2026-03-20,Internet Provider,481.55,Operations expense
2026-03-25,Panera,51.11,Food & Dining expense
2026-03-07,Electric Company,590.44,Operations expense
2026-01-24,Office Depot,588.73,Office Expenses - moderate anomaly
2026-03-14,Lyft,381.9,Travel expense
2026-01-28,Office Depot,75.66,Office Expenses expense
2026-03-17,Chipotle,56.14,Food & Dining expense
2026-01-21,Office Depot,158.59,Office Expenses expense
2026-03-01,Google Ads,1351.42,Marketing expense
2026-02-06,AWS,2367.52,Cloud Services expense
2026-02-24,Electric Company,453.52,Operations expense
2026-01-22,GCP,1606.15,Cloud Services expense
2026-03-08,LinkedIn,747.27,Marketing expense
2026-03-11,Mailchimp,998.3,Marketing expense
2026-03-16,Uber,1182.47,Travel - moderate anomaly
2026-01-29,Mailchimp,743.86,Marketing expense
2026-01-06,Internet Provider,374.86,Operations expense
2026-03-21,Azure,2674.68,Cloud services - spike period
2026-03-23,IKEA,659.51,Office Expenses - moderate anomaly
2026-02-21,Staples,293.53,Office Expenses expense
2026-01-19,Subway,44.82,Food & Dining expense
2026-01-26,Internet Provider,698.69,Operations expense
2026-02-09,Subway,18.59,Food & Dining expense
2026-02-13,Starbucks,51.58,Food & Dining expense
2026-01-10,AWS,2801.96,Cloud Services expense
2026-02-17,Internet Provider,369.24,Operations expense
2026-01-10,Mailchimp,3221.71,Marketing - moderate anomaly
2026-02-03,Starbucks,31.92,Food & Dining expense
2026-01-08,DigitalOcean,1548.53,Cloud Services expense
2026-03-03,IKEA,277.09,Office Expenses expense
2026-01-17,DigitalOcean,1912.29,Cloud Services expense
2026-02-23,GCP,2353.06,Cloud Services expense
2026-03-13,AWS,2243.01,Cloud services - spike period
2026-01-16,Starbucks,71.15,Food & Dining expense
2026-03-12,Marriott,655.63,Travel expense
2026-03-10,Office Depot,450.0,Office supplies - DUPLICATE
2026-01-07,Google Ads,1364.23,Marketing expense
2026-02-02,Azure,1817.23,Cloud Services expense
2026-01-08,AWS,3030.11,Cloud services - spike period
2026-02-14,AWS,1409.83,Cloud Services expense
2026-01-24,Electric Company,473.55,Operations expense
2026-03-23,GCP,2457.56,Cloud services - spike period
2026-02-08,Lyft,362.0,Travel expense
2026-03-25,Subway,17.26,Food & Dining expense
2026-03-11,Slack,149.0,Software subscription
2026-01-07,Starbucks,53.63,Food & Dining expense
2026-02-28,Delta Airlines,296.64,Travel expense
2026-03-14,Azure,3624.18,Cloud services - spike period
2026-02-04,Insurance Co,451.66,Operations expense
2026-01-26,Marriott,144.82,Travel expense
2026-02-07,LinkedIn,3039.8,Marketing - moderate anomaly
2026-01-20,AWS,2238.5,Cloud Services expense
2026-02-23,GCP,4157.76,Cloud services - spike period
2026-03-07,Facebook Ads,977.55,Marketing expense
2026-03-01,Subway,15.93,Food & Dining expense
2026-01-05,Marriott,506.18,Travel expense
2026-01-21,Azure,3260.32,Cloud services - spike period
2026-01-15,Staples,181.26,Office Expenses expense
2026-01-26,Subway,36.8,Food & Dining expense
2026-03-17,Internet Provider,462.32,Operations expense
2026-01-10,Chipotle,100.74,Food & Dining expense
2026-02-12,Internet Provider,585.74,Operations expense
2026-02-22,Staples,135.39,Office Expenses expense
2026-01-01,Office Depot,809.68,Office Expenses - moderate anomaly
2026-03-23,Subway,33.34,Food & Dining expense
2026-02-14,Adobe Creative Cloud,99.0,Software subscription
2026-01-29,Insurance Co,442.98,Operations expense
2026-01-10,Uber,508.58,Travel expense
2026-02-14,Electric Company,550.32,Operations expense
2026-03-10,IKEA,207.26,Office Expenses expense
2026-03-25,Electric Company,582.63,Operations expense
2026-01-19,Mailchimp,1063.77,Marketing expense
2026-01-25,Mailchimp,1033.81,Marketing expense
2026-03-08,Panera,156.97,Food & Dining - moderate anomaly
2026-03-01,Panera,27.05,Food & Dining expense
2026-03-01,Marriott,115.9,Travel expense
2026-01-13,Azure,3094.29,Cloud services - spike period
2026-01-07,Azure,1485.06,Cloud Services expense
2026-01-10,Starbucks,51.68,Food & Dining expense
2026-02-16,Uber,285.82,Travel expense
2026-01-19,Internet Provider,545.4,Operations expense
2026-02-12,Panera,85.97,Food & Dining expense
2026-02-21,Azure,2323.39,Cloud services - spike period
2026-02-05,Azure,2636.86,Cloud services - spike period
2026-03-05,Marriott,141.63,Travel expense
2026-01-20,AWS,3820.37,Cloud services - spike period
2026-01-09,Azure,2955.72,Cloud services - spike period
2026-03-02,Marriott,346.61,Travel expense
2026-03-13,Staples,239.11,Office Expenses expense
